Price,Close,High,Low,Open,Volume
Ticker,2454.TW,2454.TW,2454.TW,2454.TW,2454.TW
Date,,,,,
2023-01-03,532.5245361328125,533.3514375864348,513.5058026994977,515.1596056067425,4451795
2023-01-04,525.9093627929688,532.5245749035721,525.0824612791433,528.390067334445,2734185
2023-01-05,521.7748413085938,530.043856226321,516.8134323579574,527.5631517510028,5231120
2023-01-06,545.7550659179688,545.7550659179688,524.2556239272609,524.2556239272609,6890898
2023-01-09,558.158447265625,558.158447265625,549.8894332320601,554.850841652199,6953372
2023-01-10,573.86962890625,575.5234318713976,563.1199096327899,565.6006140805115,8579851
2023-01-11,584.619384765625,584.619384765625,573.8696648194395,578.8310740253713,6807896
2023-01-12,591.234619140625,595.3691269667833,585.4463081840036,587.1001113144667,6154916
2023-01-13,573.86962890625,600.330476348613,571.3889244585284,597.0228704183177,6607197
2023-01-16,582.138671875,588.7538840553977,579.6579673073509,584.6193764426491,4831796
2023-01-17,573.042724609375,586.2731482655798,573.042724609375,583.7924438300414,4423459
2023-01-30,611.0802001953125,611.0802001953125,586.2731555324447,606.9456927515012,14092868
2023-01-31,593.7152709960938,621.8299217117863,592.0614680128177,606.945694862302,10849696
2023-02-01,598.6766357421875,601.9842414645201,593.7152271586888,598.6766357421875,5742796
2023-02-02,617.6954345703125,622.656843683327,609.4264193819549,617.6954345703125,11004915
2023-02-03,621.0031127929688,622.656916022777,612.7340966439278,613.560998258832,6331833
2023-02-06,604.4650268554688,619.3492546029358,603.6381253139429,616.041648436832,7504061
2023-02-07,592.8883666992188,611.0801994291809,592.0614652114932,611.0801994291809,7083578
2023-02-08,615.2147827148438,617.6954874838552,599.5036525111044,600.330554100775,7726469
2023-02-09,619.3492431640625,619.3492431640625,608.5995233227637,611.9071294277787,3943535
2023-02-10,611.9071044921875,619.3492179252006,611.0802029996305,619.3492179252006,3178891
2023-02-13,604.4650268554688,609.4264361046245,600.330519147839,607.7726330215726,4083761
2023-02-14,605.2918701171875,613.5608847362747,604.4649686552788,609.426377426731,3253855
2023-02-15,587.10009765625,603.6381285761444,585.4462945642606,603.6381285761444,6560069
2023-02-16,587.927001953125,593.7153128021712,583.7924942038062,592.0615097024437,5055383
2023-02-17,597.8497314453125,597.8497314453125,584.6193086194135,585.4462100460322,3496855
2023-02-20,600.3305053710938,605.2919145063921,594.5421947132457,599.503603848544,2557688
2023-02-21,599.5036010742188,606.9457147427263,598.6766995554957,601.984305630388,2680312
2023-02-22,589.580810546875,597.0229245649982,589.580810546875,593.7153183347212,4226425
2023-02-23,616.0416259765625,616.0416259765625,597.0228912148699,598.6766942376258,7415265
2023-02-24,597.8497314453125,621.8298728172545,597.8497314453125,621.0029713906358,8014012
2023-03-01,654.0791015625,657.3867076386693,604.4650104199588,609.426419534213,15610514
2023-03-02,640.8486328125,653.2521547379032,639.194829889113,653.2521547379032,9407400
2023-03-03,640.8486328125,652.4252532762097,637.5410269657258,643.3293371975807,6400777
2023-03-06,648.290771484375,657.386687921018,642.502461024693,649.1176729786152,7426468
2023-03-07,651.598388671875,653.2521916888087,647.4638811295407,652.4252901803418,5137242
2023-03-08,635.0604248046875,648.2908503214518,632.5797200202942,646.6370471318562,8327224
2023-03-09,634.2335205078125,640.8487332380113,634.2335205078125,635.8873236903622,5235081
2023-03-10,625.1375732421875,629.2720810017258,622.6568685864646,627.6182778979105,5780275
2023-03-13,631.7528076171875,631.7528076171875,614.3878744235213,625.1375949719813,4934528
2023-03-14,629.2720947265625,635.0604057161629,619.3492758872475,619.3492758872475,4970598
2023-03-15,626.7913818359375,639.1949052231921,625.9644802767872,633.40659430914,5204405
2023-03-16,625.1375732421875,632.5796872093564,618.5223608269263,621.0030654826493,5857200
2023-03-17,639.19482421875,642.5024300361821,633.4065140382438,636.7141198556759,6673769
2023-03-20,636.7141723632812,644.9831875887784,635.0603693181819,639.1948769309304,5239975
2023-03-21,637.541015625,644.1562272008755,630.9258040491245,641.6755228599221,5224780
2023-03-22,645.8101196289062,649.1177258754052,641.6756118207827,642.5025133824074,5008621
2023-03-23,655.7329711914062,656.559872794422,643.3294471461716,644.983250352203,4688952
2023-03-24,653.2522583007812,656.5598646719244,649.1177503368522,653.2522583007812,4299481
2023-03-27,644.983154296875,653.252169095553,644.1562528170073,652.4252676156851,3000386
2023-03-28,633.4065551757812,644.9831762886546,633.4065551757812,640.8486687483427,3940649
2023-03-29,639.19482421875,640.848627127466,632.5796125838858,640.021725673108,2913723
2023-03-30,643.329345703125,647.4638530662556,640.8486412852466,644.9831486483772,2970689
2023-03-31,650.771484375,652.4252873848475,643.3293708306861,643.3293708306861,4356288
2023-04-06,622.6567993164062,642.5024343543794,621.0029963965752,640.0217299746328,8692104
2023-04-07,619.3492431640625,621.8299477428237,614.38783400654,619.3492431640625,4322843
2023-04-10,613.5609741210938,620.1761867800813,611.0802693739735,618.5223836153344,5720960
2023-04-11,625.1375732421875,627.6182778979105,614.387853067388,614.387853067388,4506545
2023-04-12,626.7913818359375,628.4451849542381,621.8299724810356,625.1375787176369,3537841
2023-04-13,620.1760864257812,628.4451009114583,619.3491849772136,627.6181994628906,5072055
2023-04-14,618.5223388671875,626.7913540926846,616.8685358220881,623.4837480024859,4358117
2023-04-17,586.273193359375,587.1000949014898,573.8696702276534,582.9655871909159,14011693
2023-04-18,568.908203125,581.3117249954579,566.4274987509084,580.4848235374274,13970100
2023-04-19,558.158447265625,566.4274612991898,558.158447265625,563.9467570891203,10748670
2023-04-20,556.5046997070312,565.6006160469678,546.5818818816458,546.5818818816458,9881462
2023-04-21,549.8894653320312,561.4660856548109,549.8894653320312,558.9853812999295,5084036
2023-04-24,558.9854736328125,563.1199815738836,548.2357529860276,548.2357529860276,4674121
2023-04-25,537.4860229492188,560.6392670147236,537.4860229492188,560.6392670147236,8340199
2023-04-26,536.6591186523438,539.1398233610603,527.5632013870497,530.0439060957663,7111965
2023-04-27,547.4088134765625,551.5433211312194,539.9666996981803,540.7936012291116,4627385
2023-04-28,549.8894653320312,557.3315783966754,548.235662428777,552.3701696869126,6381645
2023-05-02,554.8508911132812,556.5046940674192,540.7935660031087,540.7935660031087,6341076
2023-05-03,562.2930297851562,562.2930297851562,552.370211612477,557.3316206988167,6487920
2023-05-04,552.3701782226562,557.3315870090872,550.7163752938459,557.3315870090872,5568985
2023-05-05,558.158447265625,560.6391514756945,555.6777430555555,558.158447265625,3164748
2023-05-08,558.158447265625,565.6005598958333,557.3315458622685,563.1198556857638,2957572
2023-05-09,559.8123168945312,563.1199229027707,557.3316123883517,563.1199229027707,2163899
2023-05-10,552.3701782226562,559.8122914023028,550.7163752938459,559.8122914023028,3766277
2023-05-11,552.3701782226562,557.3315870090872,549.0625723650355,550.7163752938459,3130043
2023-05-12,556.5046997070312,558.9854041633776,546.5818818816458,556.5046997070312,5100737
2023-05-15,562.2930297851562,563.9468328139361,556.5047191844267,558.9854237275965,3589435
