Price,Open,High,Low,Close,Volume,Change (%)
Ticker,6669.TW,6669.TW,6669.TW,6669.TW,6669.TW,
Date,,,,,,
2023-01-04,740.8600127830935,750.0064326939959,731.713592872191,732.6282348632812,458030,-1.111115596472667
2023-01-05,731.7136308134509,732.6282728519677,659.4569097706226,661.2861938476562,3099295,-9.73782303502655
2023-01-06,658.5423027922844,691.4694179318986,656.7130186178614,678.6644287109375,1365160,2.6279446062781098
2023-01-09,697.8718276042516,716.1646671220564,694.2132597006906,701.5303955078125,1340128,3.3692596561023302
2023-01-10,716.1647011668412,741.7746777092059,704.274354915029,709.76220703125,2061070,1.1734076778638691
2023-01-11,713.420767276845,715.2500512955036,681.4082969503199,687.810791015625,1429022,-3.092784568995588
2023-01-12,688.7254387397271,708.8475631119369,685.9815126889712,704.2743530273438,1226037,2.3936178708985567
2023-01-13,716.1647005302962,724.3964786973111,706.1036383261669,707.9329223632812,895040,0.5194806995613366
2023-01-16,716.1646742475381,729.8843040223951,711.5914643225857,719.8232421875,721050,1.6795828317357264
2023-01-17,719.8232414877339,722.5671674400378,714.335389583126,717.9939575195312,485595,-0.2541297030656642
2023-01-30,735.3721822629938,741.774676387174,702.4450696243523,706.1036376953125,2042200,-1.6560473385175078
2023-01-31,710.6768405761719,717.0793346354167,685.9815063476562,685.9815063476562,2328410,-2.849741917961779
2023-02-01,692.3839757489102,705.1889634113735,688.7254078453492,701.5303955078125,1355013,2.2666630246262143
2023-02-02,708.8476076740251,752.7504272460938,708.8476076740251,752.7504272460938,2995651,7.301184961658702
2023-02-03,757.3235821264677,775.6164222744501,745.4332360302792,769.2139282226562,1719647,2.1871128040130916
2023-02-06,760.9821546052632,792.0799830386513,759.1528705797698,782.0189208984375,1283161,1.664685493328033
2023-02-07,781.10433681212,788.42147345673,771.0432739257812,771.0432739257812,1104595,-1.4035014600473739
2023-02-08,780.1897271369486,782.019011374081,763.7261690027574,777.44580078125,1199244,0.830371922300821
2023-02-09,768.2993215280814,787.5068045662833,767.3846794786431,784.7628784179688,970273,0.9411688415277064
2023-02-10,784.7628423484412,791.165336400235,768.2992862152571,769.2139282226562,764126,-1.9813564865170719
2023-02-13,766.4700245400319,768.2993086081465,739.9454055523696,744.5186157226562,1103181,-3.210460912617763
2023-02-14,751.8357255375226,757.3235775487454,746.3478735262998,756.408935546875,719030,1.5970480217848637
2023-02-15,759.1528290611694,767.3846067256882,749.0917674712022,751.835693359375,634203,-0.6045991754702884
2023-02-16,759.1528953971043,780.1896623779879,755.4943272265159,766.4700317382812,866327,1.946480927703309
2023-02-17,761.8968209444621,771.9578834059135,760.9821789025119,764.6407470703125,407285,-0.23866356050739057
2023-02-20,765.5553569036271,770.1285669209725,760.0675048828125,760.0675048828125,296154,-0.5980903064638055
2023-02-21,776.5310700919492,790.2507003055879,769.2139339780086,785.677490234375,1087224,3.3694356339455833
2023-02-22,775.6163859148002,779.2749537728889,753.6649787662682,755.4942626953125,995112,-3.8416815950853556
2023-02-23,782.9335501918708,830.4949340820312,782.9335501918708,830.4949340820312,3137407,9.927364784895287
2023-02-24,878.0563080495356,912.8127035764963,868.9098881740196,886.2880859375,5532147,6.718060468019393
2023-03-01,886.2881070400806,891.7759590960563,848.7877846575798,859.7634887695312,2809254,-2.992773748042832
2023-03-02,868.9099382206718,877.1417165827623,849.7024553757938,855.1903076171875,1895077,-0.5319115328901391
2023-03-03,860.6782170652433,867.0807117724237,834.1535961354962,838.726806640625,1195130,-1.9251271711012152
2023-03-06,846.0438592671842,869.8245515276672,842.3852912271099,861.5927734375,1431151,2.726271130937219
2023-03-07,867.9952961804395,867.9952961804395,848.7878133355615,855.1903076171875,1252232,-0.7430965088957908
2023-03-08,854.2756690535903,866.166015625,852.4463849656811,866.166015625,1030393,1.2834228720849383
2023-03-09,894.5198884662829,901.8370245682565,868.909912109375,868.909912109375,1938216,0.31678643988302113
2023-03-10,861.5928018988135,862.5074439390459,844.2146031344001,855.1903076171875,911497,-1.5789444108056827
2023-03-13,846.0438812756148,851.5317334784836,821.348546362705,836.8974609375,1476132,-2.1390381201415565
2023-03-14,825.0070840848092,846.0438500869717,825.0070840848092,835.9827880859375,796097,-0.10929329986709702
2023-03-15,848.7878375137061,851.5317637125651,832.3242803205524,834.153564453125,1106100,-0.2188111596173714
2023-03-16,846.0438507613137,865.2513327785975,834.1535047506142,837.8120727539062,1527035,0.43858930258000584
2023-03-17,849.7024292120954,882.6295416465792,844.2145771396814,867.0806274414062,2484543,3.4934510541598796
2023-03-20,878.9710088712033,892.6906396028038,869.8245883834696,880.80029296875,2146262,1.5822825574858035
2023-03-21,902.7516793915719,942.0812864977903,893.6052591343118,905.49560546875,3526199,2.8037357272854724
2023-03-22,923.7885016516058,992.3866577148438,919.2152912473898,992.3866577148438,4058367,9.595966200312223
2023-03-23,987.8134447674419,996.9598655523256,955.8009720203488,983.240234375,3078464,-0.9216592412583546
2023-03-24,1010.6795043945312,1056.411608665777,1001.5330835402822,1010.6795043945312,3089685,2.7906984539717516
2023-03-27,1010.6795338023792,1047.2652182839133,1001.5331126819957,1006.1063232421875,1777721,-0.4524857912383773
2023-03-28,1019.8258902173524,1024.3991004873853,983.2402080570886,996.9598388671875,1303264,-0.9090971961616678
2023-03-29,1015.2527097359232,1024.3991305443549,974.0938160979803,992.3866577148438,1433219,-0.4587126756821158
2023-03-30,1024.3989905973451,1065.557878612417,1015.2525710384402,1033.54541015625,2923573,4.147451209811903
2023-03-31,1051.8382161458333,1056.41142578125,1001.5329101562501,1028.97216796875,2072323,-0.4424810117253264
2023-04-06,1024.3989583333334,1033.5453776041668,983.2400716145834,1028.97216796875,1981440,0.0
2023-04-07,1038.1186199357023,1051.8382492740598,1019.8257808178927,1033.54541015625,1448809,0.4444476079977777
2023-04-10,1079.2777217741937,1134.15625,1070.1313004032259,1134.15625,3989356,9.734535014628886
2023-04-11,1143.3025159333881,1147.8757259971217,1115.8632555509869,1129.5828857421875,2391333,-0.40323934711927745
2023-04-12,1125.009675678454,1134.156095805921,1106.7168354235198,1129.5828857421875,1536804,0.0
2023-04-13,1120.4365727850732,1125.0097832862366,1060.9848362699468,1074.7044677734375,3365147,-4.858290494786699
2023-04-14,1088.4240081269863,1097.5704283633474,1065.5579575360832,1079.277587890625,1673120,0.42552350476983136
2023-04-17,1083.8508887757646,1102.1437307804188,1065.5580467711104,1074.7044677734375,1103035,-0.4237204745560774
2023-04-18,1056.411531119511,1079.2775815766433,1051.8383210280845,1060.9847412109375,1767634,-1.2766045898110367
2023-04-19,1070.1311288808847,1102.1435985482615,1047.2650791184726,1056.4114990234375,2523302,-0.43103750787975015
2023-04-20,1047.2650394946072,1065.557878612417,1028.9722003767974,1033.54541015625,1068236,-2.1645058661634464
2023-04-21,1051.8383315273616,1051.8383315273616,992.3865997453803,1001.5330200195312,2622389,-3.097337554997137
2023-04-24,1010.679392810435,1042.6918622659691,1001.5329729659967,1038.11865234375,2009452,3.6529631667566287
2023-04-25,1019.825920140139,1028.9723409485707,978.6670265021962,992.3866577148438,2568820,-4.40527626833962
2023-04-26,1010.679392810435,1047.2650721881882,1001.5329729659967,1038.11865234375,2931278,4.60828390561121
2023-04-27,1070.1311936276154,1079.277614085971,1033.5455117941926,1065.5579833984375,3145459,2.643178695685511
2023-04-28,1079.277614085971,1092.9972447735045,1028.9723015650147,1065.5579833984375,2413708,0.0
2023-05-02,1065.5579077350205,1111.2900067794421,1060.9846978305784,1106.716796875,1915837,3.862653569099317
2023-05-03,1106.7168485997088,1115.86326883607,1065.5579575360832,1079.277587890625,1333173,-2.4793342851445077
2023-05-04,1079.2776782746012,1092.9973097780917,1065.5580467711104,1074.7044677734375,942261,-0.4237204745560774
2023-05-05,1079.2775079507744,1092.9971372891316,1033.54541015625,1033.54541015625,1682230,-3.8298024109326034
2023-05-08,1051.8382161458333,1065.5578450520834,1019.8257486979167,1028.97216796875,1439081,-0.4424810117253264
2023-05-09,1010.6794463700777,1038.1187073575006,983.2401853826548,1019.8258666992188,2322106,-0.8888774210080497
2023-05-10,969.5205843341884,974.0937946376515,919.2152709960938,919.2152709960938,3802587,-9.865468114548081
2023-05-11,923.7884551403569,955.800926358092,919.2152449663947,932.9348754882812,2258234,1.4925344394377316
2023-05-12,923.7884297393946,955.8009000768984,907.3248735658212,946.6544799804688,1998588,1.4705854452066625
2023-05-15,946.6544733658212,951.2276833820812,919.2152132682612,928.3616333007812,1293352,-1.9323678349956075
2023-05-16,942.0812129700582,978.6668911436527,942.0812129700582,955.8008422851562,1316245,2.955659518889764
2023-05-17,969.5205399061033,992.3865903755868,964.9473298122066,974.09375,1563342,1.9138827782478662
2023-05-18,996.9598004694835,1006.1062206572769,969.5205399061033,974.09375,1668065,0.0
2023-05-19,987.8134155273438,992.3866257844148,955.8009437278465,987.8134155273438,1597402,1.4084543225273416
2023-05-22,983.240261437758,992.3866824743883,955.8009983278671,969.5206298828125,1227275,-1.8518462451500128
2023-05-23,978.6668619791667,1042.6917968750001,978.6668619791667,1028.97216796875,2800280,6.132054981968094
2023-05-24,1024.3991654829545,1024.3991654829545,992.3866915616121,1006.1063232421875,1464605,-2.222202450013877
2023-05-25,1047.26513671875,1088.424028554858,1028.972295902702,1047.26513671875,3165414,4.090900983896795
2023-05-26,1097.5704877804487,1125.00974997496,1056.4115944886819,1070.1312255859375,3830467,2.1834097274383346
2023-05-29,1106.7168870348157,1138.7293589738395,1079.2776253727957,1102.1436767578125,3012215,2.991450992783329
2023-05-30,1120.4364524426321,1120.4364524426321,1083.8507723628727,1092.9971923828125,2016948,-0.8298813092959212
2023-05-31,1088.4240017594962,1097.5704219423492,1047.2651109366582,1060.9847412109375,1809310,-2.9288685638876655
2023-06-01,1051.838352710904,1079.277614085971,1042.6919322525482,1065.5579833984375,1622331,0.43103750787973905
2023-06-02,1083.850835649799,1134.156148696836,1079.2776253727957,1102.1436767578125,2695380,3.4334774765321097
2023-06-05,1120.4366099039712,1120.4366099039712,1079.277714029948,1097.570556640625,1539138,-0.4149295789311558
2023-06-06,1088.4240459268024,1115.8633075888226,1079.2776253727957,1102.1436767578125,1282139,0.416658417950333
2023-06-07,1106.7169779459634,1129.5830312093099,1092.9973459879557,1097.570556640625,1512305,-0.4149295789311558
2023-06-08,1097.5702868009869,1111.2899153859992,1028.9721438759252,1042.6917724609375,1999662,-5.000023355915905
2023-06-09,996.959799930967,1065.5579513023638,987.8133797481141,1060.9847412109375,2379165,1.7543984937010926
2023-06-12,1060.9846105742872,1074.7042391592997,1042.6917724609375,1042.6917724609375,1472043,-1.7241500315189895
2023-06-13,1047.2651737571782,1083.8508566831931,1047.2651737571782,1070.1312255859375,1791829,2.631597740551661
2023-06-14,1089.2406520113032,1175.233335064827,1084.4632807305518,1122.6822509765625,2656867,4.91070853126927
2023-06-15,1141.7917205810547,1160.901205444336,1122.6822357177734,1146.569091796875,1728412,2.1276581864133393
2023-06-16,1160.9012615300026,1160.9012615300026,1127.4596614036238,1137.014404296875,2717292,-0.8333285423755998
2023-06-19,1151.3465023590213,1175.2333592544367,1146.5691309799383,1160.9012451171875,2344576,2.100838892633372
2023-06-20,1160.901205444336,1170.4559478759766,1108.3501220703124,1146.569091796875,2715379,-1.234571276462515
2023-06-21,1146.5691309799383,1165.6786164962707,1127.459645463606,1160.9012451171875,2867227,1.250003460136151
2023-06-26,1117.9049665178572,1184.7881696428572,1117.9049665178572,1170.4560546875,2829326,0.8230510226860943
2023-06-27,1160.901266972571,1170.4560099106168,1094.01806640625,1094.01806640625,2000152,-6.530615820656182
2023-06-28,1113.1274812342758,1141.7917082188494,1108.35011007018,1127.4595947265625,1799204,3.0567619811037394
2023-06-29,1156.1239169205478,1237.3392333984375,1151.346545363025,1237.3392333984375,2020978,9.74577174967619
2023-06-30,1337.664072815801,1356.7735595703125,1304.2224709954062,1356.7735595703125,2469680,9.652512661692647
2023-07-03,1399.7698529603888,1490.5399116847825,1375.8829954013377,1428.43408203125,6690906,5.281686244212502
2023-07-04,1437.9887147406146,1538.3135087922853,1418.879230159344,1447.54345703125,4384520,1.3377848680862003
2023-07-05,1452.320939590301,1495.3172831965928,1375.8829954013377,1428.43408203125,3158193,-1.3201244430471992
2023-07-06,1394.992419772678,1418.8792762756348,1356.773449367947,1375.8829345703125,4567552,-3.678934024467484
2023-07-07,1375.8829422757474,1461.8756261679816,1366.3281996210549,1437.98876953125,5931680,4.513889474203925
2023-07-10,1418.8791895005309,1485.7623836184011,1399.7697054668538,1476.2076416015625,3517658,2.657800455755366
2023-07-11,1528.7588778409092,1614.7515647194602,1519.2041348544035,1576.5325927734375,4759278,6.796127343104041
2023-07-12,1586.0872348928315,1667.3025451132476,1566.9777501350864,1657.747802734375,4155777,5.151508464411991
2023-07-13,1758.0727095170455,1820.1785389293325,1729.4084805575285,1786.7369384765625,4721581,7.78098668141356
2023-07-14,1815.401118653599,1910.9485459511568,1748.5179195453086,1858.3974609375,5742246,4.010692392246495
2023-07-17,1820.1785389293325,1844.0653963955967,1748.5179665305398,1786.7369384765625,3558345,-3.8560385475767456
2023-07-18,1815.4010588689873,1829.733172491637,1710.298892302888,1762.8499755859375,4574577,-1.3369042961070665
2023-07-19,1767.6274753146702,1810.6238193088107,1715.0763882107203,1719.853759765625,5075598,-2.439017296751045
2023-07-20,1748.517923776727,1834.5106085526315,1738.9631810238486,1815.401123046875,5194057,5.555551612380749
2023-07-21,1767.6273090408508,1996.9411221056098,1748.5178246187875,1982.6090087890625,6517823,9.210520122492504
2023-07-24,2006.4958894337324,2039.9374875909612,1930.0579507886378,2020.8280029296875,4660040,1.9277121192931679
2023-07-25,2030.3827635524908,2049.492248385926,1949.1674530103912,1953.94482421875,4225083,-3.3096918002904707
2023-07-26,1958.7222786137625,2016.0507355487994,1910.9485645012317,1939.61279296875,3571652,-0.7334921166840203
2023-07-27,1939.6128435451967,2030.3829027258832,1834.5106697570332,1867.9522705078125,5836569,-3.6945787695725985
2023-07-28,1858.397368499031,1872.7294818807718,1781.9594304630812,1810.6236572265625,5118027,-3.0690619983381517
2023-07-31,1753.2952236218398,1796.291564255618,1667.3025423542838,1700.744140625,5878990,-6.068600515795275
2023-08-01,1719.8536854619565,1724.631056810462,1609.9741444463316,1648.193115234375,4000327,-3.08988425333121
2023-08-02,1648.1930728433983,1681.6346714228296,1485.762451171875,1485.762451171875,5250215,-9.85507478226556
2023-08-04,1409.3245115617465,1538.3135346538384,1409.3245115617465,1485.762451171875,6118234,0.0
2023-08-07,1533.536169103674,1629.0835939699466,1514.4266841304195,1590.8646240234375,4114949,7.073955380193153
2023-08-08,1648.1930724575989,1743.7404969478944,1600.419360212451,1676.8572998046875,7209118,5.40540499063753
2023-08-09,1600.4193512504621,1686.4120328101885,1586.0872376571745,1614.75146484375,5753803,-3.703704242941319
2023-08-10,1566.9778323432508,1581.3099466634635,1457.0982892216205,1495.3172607421875,5071869,-7.396445007289055
2023-08-11,1538.3136718750002,1571.7552734375001,1500.0946986607144,1504.8720703125,2768852,0.6389820957172665
2023-08-14,1457.098262325214,1547.868318011047,1447.543519621442,1500.0946044921875,2760819,-0.3174665750371952
2023-08-15,1595.6420390744456,1633.8610100702408,1538.313582580753,1562.200439453125,4155577,4.1401278809319875
2023-08-16,1562.2003934090599,1652.9704468487298,1547.8682797080592,1633.8609619140625,4454142,4.587152880716361
2023-08-17,1609.974160228056,1652.9705027860753,1586.0873032513787,1624.3062744140625,4194823,-0.5847919573772509
2023-08-18,1633.8610795319623,1648.1931942646988,1528.758904825228,1571.7552490234375,3781840,-3.2352904263441173
2023-08-21,1605.1967655779367,1633.8609935346856,1576.5325376211879,1586.0872802734375,2292485,0.9118487919098639
2023-08-22,1652.9705422626641,1662.5252852815233,1614.7515701872267,1638.638427734375,3568566,3.3132569761153308
2023-08-23,1648.1931110963983,1691.189453125,1609.974140404308,1691.189453125,3445817,3.2069933489405233
2023-08-24,1786.736867327009,1791.5142386300224,1657.7478421456474,1672.0799560546875,6391490,-1.1299441960805567
2023-08-25,1619.528912846346,1638.638398543648,1519.2041129355105,1538.3135986328125,4843776,-7.999997663837788
2023-08-28,1557.4230163574218,1562.200387573242,1495.317190551758,1528.7587890625,2197782,-0.6211223497474383
2023-08-29,1557.4230406226181,1576.5325257836319,1533.536184171351,1566.977783203125,1965871,2.5000015969859124
2023-08-30,1609.974160228056,1643.4157599954044,1600.4194174373852,1624.3062744140625,2514345,3.6585388654170936
2023-08-31,1471.430430876903,1533.5362607515776,1461.8756878192607,1490.5399169921875,6964883,-8.235291553628254
2023-09-01,1533.536166765832,1533.536166765832,1442.76611328125,1442.76611328125,3641106,-3.2051341373897535
2023-09-04,1461.8755950437098,1495.317193623141,1428.4339964642786,1485.762451171875,2486548,2.980132226202592
2023-09-05,1457.0983162904397,1504.8720315786509,1457.0983162904397,1490.5399169921875,1672639,0.3215497751033025
2023-09-06,1500.0945496378067,1533.53614787814,1490.5398072834257,1509.6492919921875,1735481,1.2820438273509316
2023-09-07,1490.5398500504032,1500.0945926789313,1476.2077361076108,1480.985107421875,1221409,-1.8987313624667213
2023-09-08,1471.430337494976,1509.6493073000402,1457.0982238180768,1485.762451171875,1384273,0.3225787839498562
2023-09-11,1500.0946839607802,1504.872055565751,1394.9925086514263,1423.65673828125,2618867,-4.18005670029149
2023-09-12,1423.6567163927803,1442.7662025188577,1375.8830010775862,1385.437744140625,2354535,-2.684565254596838
2023-09-13,1394.992404143558,1437.9887453671608,1390.215032896491,1399.769775390625,2201350,1.0344767428644097
2023-09-14,1433.2114142340583,1447.5435283763989,1399.769814568597,1414.1019287109375,2612182,1.0238936125273046
2023-09-15,1433.2114370245683,1461.8756657650597,1423.6566941110711,1452.3209228515625,3106796,2.702704335851136
2023-09-18,1433.211436170213,1433.211436170213,1342.4413785460993,1347.21875,2867243,-7.236842160560453
2023-09-19,1366.32818359375,1375.8829261363637,1299.4449857954546,1313.777099609375,2905515,-2.482273230729981
2023-09-20,1294.667669163519,1351.9961268386562,1294.667669163519,1304.222412109375,2497240,-0.7272685376264243
2023-09-21,1285.1129641325579,1328.109308657439,1266.0034776770551,1318.5545654296875,2616902,1.0989040816383744
2023-09-22,1299.4449937608506,1375.8829345703125,1294.6676224602593,1375.8829345703125,2201554,4.347819244169315
2023-09-25,1380.6603726091057,1394.9924872036638,1356.7735149515086,1385.437744140625,1575403,0.6944493118011152
2023-09-26,1375.882962216899,1423.6566761827635,1366.328219423726,1371.1055908203125,1910142,-1.0344855538205855
2023-09-27,1380.6602633729274,1423.6566037547832,1366.3281499123086,1404.547119140625,2235407,2.4390191786983317
2023-09-28,1423.6567105194397,1466.6530541257316,1418.8793390076296,1428.43408203125,3062305,1.7006878989748841
2023-10-02,1485.7624712688166,1566.977783203125,1480.9850999785633,1566.977783203125,3392977,9.698991568085823
2023-10-03,1571.7551583317006,1586.0872722374609,1509.6493314067397,1523.9814453125,3923991,-2.743902201519055
2023-10-04,1490.539873231132,1538.3135871167453,1480.9851304540093,1519.2041015625,2203795,-0.3134778159336715
2023-10-05,1552.6456573863088,1581.3098849072867,1538.3135436258199,1547.8682861328125,2953197,1.886789572305081
2023-10-06,1566.9777949689383,1590.8646515995624,1538.3135670121894,1586.0872802734375,2485980,2.469137360266682
2023-10-11,1576.5324857271635,1600.4193415715145,1519.2040317007213,1552.6456298828125,4364774,-2.1084369571931605
2023-10-12,1562.2003696464494,1619.5288235784292,1557.422998485451,1595.6419677734375,2866353,2.7692305998935574
2023-10-13,1600.4194784889105,1629.0837079543835,1547.8683911355433,1571.7552490234375,2417365,-1.496997398691613
2023-10-16,1557.4230726709905,1571.7551868366745,1519.2041015625,1519.2041015625,1419631,-3.343468869824906
