Price,Open,High,Low,Close,Volume,Change (%)
Ticker,3008.TW,3008.TW,3008.TW,3008.TW,3008.TW,
Date,,,,,,
2023-02-21,2003.5225106298396,2057.916786936532,2003.5225106298396,2048.85107421875,480748,3.1963328821618564
2023-02-22,2026.1868656210231,2035.2525786663073,2003.5225830078125,2003.5225830078125,329869,-2.2123858479182856
2023-02-23,2008.0557455341468,2039.7857460279145,2008.0557455341468,2017.1214599609375,285036,0.678748373911997
2023-02-24,2035.2524743458582,2044.3181869264633,1998.9896240234375,1998.9896240234375,405228,-0.8988965859225484
2023-03-01,1953.6613369208285,1980.858478502093,1953.6613369208285,1962.72705078125,556733,-1.8140450959020282
2023-03-02,1962.7268743040336,2008.0554395304546,1935.5297351681809,2003.5225830078125,482042,2.078512761635598
2023-03-03,2012.5882179705015,2048.8510687447447,2012.5882179705015,2021.6539306640625,578617,0.904973460744829
2023-03-06,2071.5153499681123,2221.099609375,2071.5153499681123,2221.099609375,1797708,9.86547082494107
2023-03-07,2216.566791972176,2234.69821767338,2175.7710841444673,2212.033935546875,1317916,-0.4081615155781315
2023-03-08,2198.435429031155,2261.8954207970023,2189.3697159217477,2225.632568359375,1165953,0.6147569706763223
2023-03-09,2261.895356225186,2266.428212650487,2198.4353662709723,2212.033935546875,918349,-0.6110008006633527
2023-03-10,2189.3698276253635,2198.435541197311,2134.9755461936775,2144.041259765625,751183,-3.0737627795226596
2023-03-13,2144.041103434414,2180.303955078125,2116.8439647016307,2180.303955078125,493604,1.6913245091404683
2023-03-14,2148.5738855451987,2166.7053107396728,2112.31103515625,2112.31103515625,742750,-3.118506470784188
2023-03-15,2130.4426432994733,2153.1069267388298,2094.179789796504,2098.712646484375,695480,-0.6437682919584353
2023-03-16,2108.886943944013,2113.511696014066,2071.888927383592,2085.76318359375,521241,-0.6170193386082268
2023-03-17,2104.2624348958334,2136.635703125,2076.5139192708334,2081.138671875,567004,-0.22171796659973264
2023-03-20,2081.1386587373877,2090.3881638873318,2058.014895862528,2062.6396484375,354073,-0.8888895145479858
2023-03-21,2085.7632023326137,2136.6354755602383,2076.5136981094092,2108.886962890625,608984,2.2421422223779297
2023-03-22,2136.6354906165084,2155.1344991932747,2104.2622256071672,2127.385986328125,555812,0.8771936933093638
2023-03-23,2141.260246492001,2159.7592551010034,2099.637477121746,2132.0107421875,664278,0.2173914789838971
2023-03-24,2141.2602427607,2150.5097470490828,2113.51172989555,2127.385986328125,626746,-0.21691991357557505
2023-03-27,2141.260212315922,2141.260212315922,2090.387939453125,2090.387939453125,407945,-1.7391318318712212
2023-03-28,2095.01264481978,2099.6373967950994,2034.890869140625,2034.890869140625,638532,-2.654869427108286
2023-03-29,2044.1406116224314,2058.0148691673803,2021.016849047517,2025.6416015625,330031,-0.45453383856556284
2023-03-30,2044.140373091264,2044.140373091264,2007.1423572887072,2034.890869140625,516078,0.45660928226347597
2023-03-31,2030.2662207592493,2053.389981815733,2007.1424597027658,2011.7672119140625,452275,-1.1363585918653274
2023-04-06,2016.3920694040698,2030.2663267623548,1988.6435546875,1988.6435546875,435474,-1.1494201262263304
2023-04-07,1988.6434214679084,1993.268173610857,1974.7691650390625,1974.7691650390625,306762,-0.6976810708854142
