Price,Close,High,Low,Open,Volume
Ticker,3008.TW,3008.TW,3008.TW,3008.TW,3008.TW
Date,,,,,
2023-01-03,1881.135498046875,1881.135498046875,1831.2740752070783,1849.4055016942773,371626
2023-01-04,1903.7996826171875,1917.3982517787388,1863.0039751325335,1863.0039751325335,331378
2023-01-05,1903.7996826171875,1930.99682094029,1894.7339698428198,1917.3982517787388,343404
2023-01-06,1976.32568359375,1989.924254811138,1881.1356850720326,1881.1356850720326,650437
2023-01-09,2017.12109375,2035.2525193117979,1962.7268170646068,1994.4568117977528,828361
2023-01-10,1976.32568359375,2021.6542543183773,1971.7928265212872,1994.4571118836009,546587
2023-01-11,1985.39111328125,1994.456826127283,1958.1939747431506,1980.8582568582335,403655
2023-01-12,1958.1942138671875,1985.3913557264539,1949.1284999140987,1971.7927847968208,422877
2023-01-13,1817.6754150390625,1912.8653993677915,1772.346851073001,1903.7996865745793,2304087
2023-01-16,1858.4710693359375,1881.1353506693026,1817.6753629358802,1826.7410754692264,953341
2023-01-17,1881.135498046875,1894.7340679122742,1858.4712149378765,1858.4712149378765,499792
2023-01-30,1962.7269287109375,1976.325498655817,1930.9969321728854,1930.9969321728854,719477
2023-01-31,1926.4639892578125,1985.3911230468748,1926.4639892578125,1935.5297021484373,595554
2023-02-01,2008.0555419921875,2017.121255500053,1935.5298339292642,1935.5298339292642,835146
2023-02-02,2012.58837890625,2030.7198057432431,1985.3912386507602,2017.1212356154983,413248
2023-02-03,2035.252197265625,2048.850764285217,1989.923640533651,1989.923640533651,484399
2023-02-06,2008.0555419921875,2026.1869690079182,1994.4569717303893,2012.5883987461202,444318
2023-02-07,2008.0555419921875,2048.851252777582,1998.989828484322,2003.5226852382548,584994
2023-02-08,2026.1865234375,2039.7850907088925,2008.0551004089766,2021.6536676803692,302215
2023-02-09,2003.522705078125,2030.719845871041,2003.522705078125,2030.719845871041,198619
2023-02-10,2044.318115234375,2076.0481081537555,2017.1209784463347,2021.6538345776746,824244
2023-02-13,2003.522705078125,2044.3184162674986,2003.522705078125,2044.3184162674986,308976
2023-02-14,2017.12109375,2035.2525193117979,2012.5882373595507,2017.12109375,262224
2023-02-15,2030.7197265625,2039.785439627511,1994.4568743024554,2012.5883004324776,288453
2023-02-16,2008.0555419921875,2044.318396023649,2003.5226852382548,2039.7855392697163,301246
2023-02-17,1962.7269287109375,2012.5883518421622,1962.7269287109375,2008.055495193869,386028
2023-02-20,1985.39111328125,1994.456826127283,1962.7268311661671,1962.7268311661671,237302
2023-02-21,2048.85107421875,2057.916786936532,2003.5225106298396,2003.5225106298396,480748
2023-02-22,2003.522705078125,2035.2527026698601,2003.522705078125,2026.1869890722214,329869
2023-02-23,2017.12109375,2039.7853757022474,2008.0553809691012,2008.0553809691012,285036
2023-02-24,1998.9896240234375,2044.3181869264633,1998.9896240234375,2035.2524743458582,405228
2023-03-01,1962.7269287109375,1980.85835530411,1953.661215414351,1953.661215414351,556733
